"id","algorithm_name","algorithm_step","plant_id","schedule_start_date","created_at","sod_id","asset_id","production_hours","scheduled_production_quantity","prod_start_datetime","prod_end_datetime","changeover_group","fulfilled_quantity","schedule_status","quantity_status","reason_code","demand_id","changeover_type","row_type","material_id","order_id","order_line_item","order_status","demand_type","due_date","original_quantity","adjusted_quantity","quantity_fulfilled_by_inventory","production_quantity","cm","demand_status","quantity","starting_available_inventory","ending_available_inventory","safety_stock","material_name","product_grade","plant_name","asset_hours","inventory_quantity_total"
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3786","74","4","1.3608","2024-10-21 05:00:00","2024-10-21 09:00:00",NULL,"0","ON_TIME","FULL",NULL,"11110",NULL,"PRODUCTION","44",NULL,NULL,"OPEN","UNCONSUMED_FORECAST","2024-11-01 00:00:00",NULL,NULL,"0.0654","0","0","FULFILLED_BY_INVENTORY","0.0654","2.776","2.7106","0","GASIL 23FJ (30 LB X 12 BAGS)","Gasil 23FJ","JOLIET SPEC",20,"2.776"
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3787","74","0.05","0","2024-10-21 09:00:00","2024-10-21 09:03:00",NULL,NULL,NULL,NULL,NULL,NULL,"GRADE_CHANGEOVER","CHANGEOVER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JOLIET SPEC",20,NULL
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3788","74","26.561445783132527","6","2024-10-21 09:03:00","2024-10-22 11:36:41.204819",NULL,"6","ON_TIME","FULL",NULL,"11142",NULL,"PRODUCTION","10","91406637","30","OPEN","CUSTOMER_ORDERS","2024-10-25 00:00:00",NULL,NULL,"0","6","37355","NOT_FULFILLED_BY_INVENTORY","6","0","0","0","GASIL 23FP (25 LB X 14 BAGS)","Gasil 23FP","JOLIET SPEC",20,NULL
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3789","74","0.1","0","2024-10-22 11:36:41.204819","2024-10-22 11:42:41.204819",NULL,NULL,NULL,NULL,NULL,NULL,"GROUP_CHANGEOVER","CHANGEOVER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JOLIET SPEC",20,NULL
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3790","74","3.1258829595256508","0.611111111111111","2024-10-22 11:42:41.204819","2024-10-22 14:50:14.383473",NULL,"0","ON_TIME","FULL",NULL,"11124",NULL,"PRODUCTION","97",NULL,NULL,"OPEN","UNCONSUMED_FORECAST","2024-11-01 00:00:00",NULL,NULL,"0.079","0","0","FULFILLED_BY_INVENTORY","0.079","1.943681599366828","1.864681599366828","8.770318400633172","GASIL GM2 (44 LB X 24 BAGS)","Gasil GM2","JOLIET SPEC",20,"11.714"
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3790","74","0","0","2024-10-22 11:42:41.204819","2024-10-22 14:50:14.383473",NULL,"0","ON_TIME","FULL",NULL,"11205",NULL,"PRODUCTION","97","91406937","10","OPEN","CUSTOMER_ORDERS","2024-10-30 00:00:00",NULL,NULL,"1","0","5763","FULFILLED_BY_INVENTORY","1","2.943681599366828","1.943681599366828","8.770318400633172","GASIL GM2 (44 LB X 24 BAGS)","Gasil GM2","JOLIET SPEC",20,"11.714"
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3791","74","0.016666666666666666","0","2024-10-22 14:50:14.383473","2024-10-22 14:51:14.383473",NULL,NULL,NULL,NULL,NULL,NULL,"GROUP_CHANGEOVER","CHANGEOVER",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"JOLIET SPEC",20,NULL
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3792","74","7.563134191702433","2.3980000000000006","2024-10-22 14:51:14.383473","2024-10-22 22:25:01.666563",NULL,"2","ON_TIME","FULL",NULL,"11149",NULL,"PRODUCTION","11","91406637","30","OPEN","CUSTOMER_ORDERS","2024-10-25 00:00:00",NULL,NULL,"0","2","13604","NOT_FULFILLED_BY_INVENTORY","2","0","0","13.340521263269945","GASIL HP210 (15 kg x 14 Bags)","Gasil HP210","JOLIET SPEC",20,"0.42"
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3792","74","0","0","2024-10-22 14:51:14.383473","2024-10-22 22:25:01.666563",NULL,"0.3000000000000007","ON_TIME","FULL",NULL,"11041",NULL,"PRODUCTION","11",NULL,NULL,"OPEN","UNCONSUMED_FORECAST","2024-10-25 00:00:00",NULL,NULL,"0","0.3000000000000007","0","NOT_FULFILLED_BY_INVENTORY","0.3000000000000007","0","0","13.340521263269945","GASIL HP210 (15 kg x 14 Bags)","Gasil HP210","JOLIET SPEC",20,"0.42"
"166","SINGLE_STAGE","optimized_for_changeovers","2","2024-10-21 00:00:00","2024-10-21 02:44:33.303909+00","3792","74","0","0","2024-10-22 14:51:14.383473","2024-10-22 22:25:01.666563",NULL,"0.09799999999999968","ON_TIME","FULL",NULL,"11042",NULL,"PRODUCTION","11",NULL,NULL,"OPEN","UNCONSUMED_FORECAST","2024-11-01 00:00:00",NULL,NULL,"0","0.09799999999999968","0","NOT_FULFILLED_BY_INVENTORY","0.09799999999999968","0","0","13.340521263269945","GASIL HP210 (15 kg x 14 Bags)","Gasil HP210","JOLIET SPEC",20,"0.42"
